CW-Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance (m.),270,,,260,,,250,,,240,,,230,,,220,,,210,,,200,,,190,,,180,,
,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI
0.5,11:58:17,11:59:20,48,12:54:50,12:54:50,49,13:12:33,13:12:33,59,13:50:27,13:50:30,49,13:59:53,13:59:53,56,14:07:18,14:07:18,46,11:42:24,11:42:27,49,11:55:06,11:55:06,44,12:06:55,12:06:57,43,12:13:37,12:13:38,45
0.1,12:00:24,12:01:34,56,12:55:16,12:55:34,57,13:12:54,13:12:55,54,13:50:48,13:50:48,49,14:00:15,14:00:16,56,14:07:42,14:07:42,53,11:43:06,11:43:07,54,11:56:25,11:56:25,53,12:07:46,12:07:46,48,12:13:53,12:13:56,52
0.15,12:02:33,12:02:39,58,12:56:00,12:56:00,57,13:21:46,13:21:52,63,13:51:32,13:51:36,64,14:00:33,14:00:33,63,14:07:59,14:07:59,53,11:43:28,11:43:30,59,11:57:39,11:57:39,55,12:07:58,12:07:58,56,12:14:04,12:14:06,60
0.2,12:04:21,12:05:47,71,12:56:18,12:56:30,61,13:22:22,13:22:29,63,13:51:52,13:51:58,62,14:00:49,14:00:58,68,14:08:09,14:08:12,63,11:43:49,11:43:51,59,11:59:13,11:59:14,56,12:08:13,12:08:17,56,12:14:22,12:14:22,60
0.25,12:08:35,12:08:52,79,12:57:18,12:57:29,64,13:22:50,13:22:56,64,13:52:13,13:52:19,73,14:01:11,14:01:11,66,14:08:36,14:08:36,60,11:44:14,11:44:15,63,11:59:28,11:59:28,62,12:08:27,12:08:28,56,12:14:32,12:14:33,57
0.3,12:10:39,12:10:50,71,12:57:43,12:57:43,66,13:23:14,13:23:23,64,13:52:40,13:52:49,69,14:01:36,14:01:41,65,14:08:48,14:08:48,58,11:44:36,11:44:39,61,11:59:43,11:59:44,56,12:08:40,12:08:42,62,12:14:49,12:14:50,58
0.35,12:43:36,12:43:44,64,12:58:00,12:58:07,64,13:24:26,13:24:34,61,13:53:19,13:53:25,75,14:02:06,14:02:06,79,14:08:58,14:09:05,60,11:45:30,11:45:31,60,12:00:13,12:00:13,61,12:08:53,12:08:54,61,12:15:01,12:15:03,59
0.4,12:44:09,12:44:17,65,12:58:28,12:58:42,73,13:25:18,13:25:20,69,13:54:11,13:54:11,76,14:02:26,14:02:31,71,14:09:26,14:09:34,62,11:46:11,11:46:11,63,12:00:33,12:00:35,64,12:09:12,12:09:16,59,12:15:15,12:15:19,59
0.45,12:44:37,12:44:49,63,12:59:38,12:59:38,72,13:25:55,13:26:00,67,13:54:48,13:54:53,69,14:02:47,14:02:51,65,14:09:51,14:10:00,68,11:46:28,11:46:29,70,12:01:47,12:01:49,59,12:09:30,12:09:32,60,12:15:32,12:15:32,62
0.5,12:46:15,12:46:23,67,13:00:42,13:00:51,73,13:26:21,13:26:28,71,13:55:40,13:55:40,69,14:03:07,14:03:11,71,14:10:18,14:10:28,65,11:47:07,11:47:08,64,12:02:04,12:02:07,63,12:10:15,12:10:17,69,12:16:01,12:16:01,62
0.55,12:47:15,12:47:25,76,13:06:22,13:06:30,74,13:26:47,13:26:53,72,13:56:02,13:56:02,76,14:03:23,14:03:27,69,14:10:55,14:11:00,70,11:48:03,11:48:03,66,12:03:45,12:03:48,64,12:10:28,12:10:30,70,12:16:20,12:16:22,64
0.6,12:48:06,12:48:15,69,13:07:08,13:07:12,70,13:27:18,13:27:18,74,13:56:19,13:56:19,73,14:03:39,14:03:47,73,14:11:21,14:11:26,73,11:48:22,11:48:25,63,12:04:28,12:04:29,68,12:10:39,12:10:44,75,12:16:30,12:16:31,72
0.65,12:48:38,12:48:38,70,13:07:53,13:07:55,71,13:28:29,3:28:33,74,13:56:43,13:56:50,76,14:04:13,14:04:18,73,14:11:47,14:11:53,73,11:48:38,11:48:43,76,12:04:40,12:04:43,68,12:10:57,12:10:58,70,12:16:44,12:16:44,73
0.7,12:50:01,12:50:12,76,13:08:15,13:08:21,73,13:29:02,13:29:02,75,13:57:04,13:57:08,69,14:04:31,14:04:31,79,14:12:22,14:12:30,70,11:48:55,11:48:59,74,12:04:54,12:04:54,79,12:11:12,12:11:14,75,12:16:56,12:16:58,69
0.75,12:50:31,12:50:31,77,13:08:42,13:08:49,71,13:29:40,13:29:42,70,13:57:23,13:57:23,83,14:04:45,14:04:57,80,14:12:44,14:12:53,75,11:49:13,11:49:14,73,12:05:07,12:05:09,84,12:11:26,12:11:27,74,12:17:21,12:17:24,68
0.8,12:50:54,12:50:54,77,13:09:28,13:09:36,72,13:31:05,13:31:05,76,13:57:57,13:57:57,83,14:05:08,14:05:10,78,14:13:13,14:13:19,75,11:49:27,11:49:32,74,12:05:22,12:05:26,74,12:11:41,12:11:42,65,12:17:34,12:17:38,78
0.85,12:51:28,12:51:28,74,13:10:05,13:10:13,72,13:31:44,13:31:44,76,13:58:11,13:58:11,79,14:05:29,14:05:32,77,14:13:41,14:13:43,70,11:49:42,11:49:42,74,12:05:41,12:05:46,81,12:11:59,12:11:59,71,12:18:11,12:18:11,73
0.9,12:51:54,12:51:54,74,13:10:31,13:10:38,76,13:32:04,13:32:09,84,13:58:27,13:58:28,83,14:05:52,14:05:52,73,14:14:04,14:14:05,72,11:49:59,11:50:02,76,12:05:54,12:05:57,74,12:12:15,12:12:15,66,12:18:35,12:18:38,75
0.95,12:52:34,12:52:34,74,13:11:08,13:11:11,75,13:32:43,13:32:49,84,13:58:43,13:58:43,80,14:06:03,14:06:03,73,14:14:47,14:14:47,73,11:50:21,11:50:26,73,12:06:08,12:06:08,80,12:12:33,12:12:37,73,12:18:49,12:18:52,72
1,12:53:13,12:53:30,73,13:11:41,13:11:49,76,13:33:31,13:33:37,85,13:58:58,13:58:58,73,14:06:15,14:06:17,75,14:15:20,14:15:20,75,11:50:37,11:50:38,74,12:06:19,12:06:21,75,12:12:49,12:12:52,71,12:19:05,12:19:12,78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CW-Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance (m.),90,,,80,,,70,,,60,,,50,,,40,,,30,,,20,,,10,,,0,,
,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI
0.5,12:20:33,12:20:33,49,12:26:11,12:26:15,52,12:31:58,12:31:59,46,12:37:43,12:37:44,48,12:42:38,12:42:41,44,12:43:56,12:43:56,59,13:08:18,13:08:18,62,13:17:24,13:17:25,44,13:31:26,13:31:26,76,13:40:18,13:40:18,58
0.1,12:21:02,12:21:03,52,12:26:26,12:26:26,49,12:32:13,12:32:13,54,12:37:59,12:38:00,51,12:42:53,12:42:56,51,12:53:38,12:53:48,53,13:08:58,13:08:58,62,13:17:41,13:17:45,53,13:31:46,13:31:46,76,13:40:40,13:40:43,53
0.15,12:21:17,12:21:18,60,12:26:39,12:26:39,51,12:32:25,12:32:26,58,12:38:12,12:38:12,62,12:43:09,12:43:09,67,12:56:54,12:57:06,51,13:09:22,13:09:22,62,13:18:04,13:18:05,56,13:32:04,13:32:07,71,13:40:57,13:41:01,53
0.2,12:21:31,12:21:32,63,12:26:57,12:26:57,69,12:32:37,12:32:41,61,12:38:24,12:38:24,70,12:43:23,12:43:24,67,12:58:24,12:58:25,55,13:09:42,13:09:42,54,13:18:05,13:24:06,54,13:32:19,13:32:19,64,13:41:24,13:41:26,55
0.25,12:21:47,12:21:49,64,12:27:13,12:27:13,62,12:32:51,12:32:51,58,12:38:37,12:38:38,62,12:43:37,12:43:37,66,12:59:52,12:59:53,59,13:09:59,13:09:59,54,13:24:23,13:24:23,64,13:32:52,13:32:52,64,13:41:42,13:41:42,53
0.3,12:21:58,12:22:01,73,12:27:25,12:27:26,63,12:33:01,12:33:08,65,12:38:50,12:38:51,61,12:43:48,12:43:49,62,13:00:10,13:00:10,65,13:11:08,13:11:10,58,13:24:43,13:24:43,73,13:33:10,13:33:10,63,13:41:59,13:42:02,56
0.35,12:22:45,12:22:48,65,12:27:39,12:27:39,65,12:33:16,12:33:19,68,12:39:03,12:39:04,60,12:43:59,12:43:59,61,13:00:50,13:00:50,63,13:11:41,13:11:41,58,13:25:01,13:25:02,70,13:33:32,13:33:32,63,13:42:33,13:42:33,56
0.4,12:23:02,12:23:04,62,12:27:50,12:27:52,58,12:33:31,12:33:31,74,12:39:17,12:39:19,62,12:44:10,12:44:13,57,13:01:22,13:01:23,63,13:11:59,13:11:59,58,13:25:17,13:25:17,62,13:34:06,13:34:06,63,13:42:48,13:42:48,56
0.45,12:23:16,12:23:19,75,12:28:02,12:28:05,67,12:33:41,12:33:46,68,12:39:29,12:39:30,61,12:44:22,12:44:23,65,13:01:54,13:01:54,63,13:12:13,13:12:14,58,13:25:31,13:25:32,60,13:34:22,13:34:23,68,13:43:02,13:43:02,56
0.5,12:23:30,12:23:30,78,12:28:19,12:28:22,72,12:33:55,12:33:56,68,12:39:39,12:39:43,66,12:44:36,12:44:38,75,13:02:07,13:02:07,63,13:12:56,13:12:57,58,13:25:49,13:25:49,65,13:35:19,13:35:19,68,13:43:20,13:43:20,56
0.55,12:23:44,12:23:44,63,12:28:31,12:28:36,64,12:34:09,12:34:10,70,12:39:53,12:39:54,69,12:44:51,12:44:53,62,13:02:23,13:02:23,63,13:13:57,13:13:57,64,13:26:23,13:26:23,77,13:35:59,13:36:03,77,13:43:38,13:43:38,68
0.6,12:23:59,12:24:02,72,12:28:45,12:28:46,70,12:34:20,12:34:20,80,12:40:04,12:40:05,73,12:45:05,12:45:05,61,13:02:39,13:02:40,70,13:14:20,13:14:21,73,13:26:41,13:26:41,77,13:36:30,13:36:35,72,13:43:57,13:43:58,73
0.65,12:24:12,12:24:14,75,12:29:05,12:29:06,74,12:34:33,12:34:36,70,12:40:16,12:40:16,80,12:45:15,12:45:15,62,13:02:54,13:02:54,69,13:14:39,13:14:39,73,13:27:59,13:27:59,64,13:36:53,13:36:54,70,13:44:22,13:44:23,65
0.7,12:24:26,12:24:26,75,12:29:16,12:29:33,66,12:34:44,12:34:47,67,12:40:28,12:40:28,77,12:45:25,12:45:25,62,13:03:29,13:03:30,70,13:14:53,13:14:53,73,13:27:59,13:28:28,71,13:37:16,13:37:16,71,13:45:02,13:45:03,77
0.75,12:24:39,12:24:39,67,12:30:20,12:30:20,66,12:34:56,12:34:56,69,12:40:38,12:40:40,75,12:45:35,12:45:35,70,13:05:05,13:05:06,70,13:15:09,13:15:09,73,13:28:42,13:28:44,68,13:37:40,13:37:40,67,13:46:57,13:46:58,77
0.8,12:24:49,12:24:50,72,12:30:37,12:30:37,73,12:35:11,12:35:15,75,12:40:58,12:41:01,70,12:45:47,12:45:47,69,13:05:21,13:05:21,63,13:15:24,13:15:24,73,13:28:58,13:28:59,70,13:38:27,13:38:28,73,13:47:26,13:47:27,77
0.85,12:25:02,12:25:06,85,12:30:50,12:30:50,72,12:35:23,12:35:26,74,12:41:10,12:41:10,72,12:46:08,12:46:09,71,13:05:53,13:05:53,72,13:15:39,13:15:39,76,13:29:19,13:29:24,74,13:38:46,13:38:46,73,13:47:46,13:47:46,71
0.9,12:25:17,12:25:19,71,12:31:04,12:31:08,70,12:35:36,12:35:36,74,12:41:21,12:41:23,83,12:46:20,12:46:20,71,13:06:15,13:06:16,72,13:15:56,13:15:56,70,13:29:36,13:29:37,71,13:39:08,13:39:09,72,13:48:01,13:48:01,71
0.95,12:25:34,12:25:34,73,12:31:17,12:31:18,70,12:35:46,12:35:48,74,12:41:37,12:41:40,80,12:46:33,12:46:33,71,13:06:37,13:06:38,72,13:16:12,13:16:13,77,13:29:57,13:29:58,71,13:39:29,13:39:29,72,13:48:16,13:48:16,71
1,12:25:46,12:25:46,76,12:31:27,12:31:28,70,12:35:48,12:36:08,82,12:42:00,12:42:00,76,12:46:49,12:46:49,71,13:07:02,13:07:03,73,13:16:28,13:16:28,77,13:30:42,13:30:45,76,13:39:45,13:39:45,72,13:48:31,13:48:32,71
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCW-Front,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance (m.),270,,,280,,,290,,,300,,,310,,,320,,,330,,,340,,,350,,,360,,
,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI
0.5,13:59:03,13:59:04,44
0.1,14:00:01,14:00:01,52
0.15,14:00:33,14:00:33,53
0.2,14:00:58,14:00:58,53
0.25,14:01:38,14:01:39,53
0.3,14:02:08,14:02:08,53
0.35,14:02:42,14:02:42,53
0.4,14:03:06,14:03:06,53
0.45,14:03:30,14:03:30,53
0.5,14:04:21,14:04:22,67
0.55,14:04:44,14:04:45,67
0.6,14:05:09,14:05:09,67
0.65,14:05:28,14:05:28,67
0.7,14:05:41,14:05:41,67
0.75,14:06:05,14:06:05,67
0.8,14:06:41,14:06:41,67
0.85,14:07:11,14:07:11,67
0.9,14:07:44,14:07:44,67
0.95,14:08:09,14:08:09,67
1,14:08:32,14:08:32,67
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCW-Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance (m.),90,,,100,,,110,,,120,,,130,,,140,,,150,,,160,,,170,,,180,,
,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI,Time - Start,Time - End,RSSI
0.5
0.1
0.15
0.2
0.25
0.3
0.35
0.4
0.45
0.5
0.55
0.6
0.65
0.7
0.75
0.8
0.85
0.9
0.95
1

13:48:30.873,13:48:31.156,71
